epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3187,3.04509,29.588,1.29155,0,0,0,0,4.21942,13.9772,1.91707,0.0004,0.0004,0.0004
2,63.2574,3.28406,26.5167,1.27012,0,0,0,0,3.28441,11.2129,1.33876,0.000815941,0.000815941,0.000815941
3,97.3077,3.4198,23.5893,1.49374,0.0003,0.05,0.00016,8e-05,3.14592,10.8724,1.42154,0.00122772,0.00122772,0.00122772
4,131.646,3.01448,22.073,1.26931,0,0,0,0,3.47668,9.72815,1.65372,0.00163535,0.00163535,0.00163535
5,178.439,3.46016,20.9592,1.42504,0,0,0,0,3.47668,9.72815,1.65372,0.0019604,0.0019604,0.0019604
6,224.153,2.53901,21.6712,1.17864,0.01476,0.05,0.00628,0.00095,3.49735,8.49644,1.756,0.0019505,0.0019505,0.0019505
7,270.347,2.66263,22.4626,1.109,0,0,0,0,3.227,8.37377,1.49501,0.0019406,0.0019406,0.0019406
8,306.355,2.94858,18.3433,1.26275,0,0,0,0,3.227,8.37377,1.49501,0.0019307,0.0019307,0.0019307
9,337.506,2.7145,16.0642,1.1966,0,0,0,0,3.35275,8.94831,1.52931,0.0019208,0.0019208,0.0019208
10,368.841,3.2538,15.0168,1.32376,0.00061,0.1,0.00034,3e-05,3.05553,7.21714,1.4265,0.0019109,0.0019109,0.0019109
11,406.291,2.58064,13.9262,1.18285,0.00061,0.1,0.00034,3e-05,3.05553,7.21714,1.4265,0.001901,0.001901,0.001901
12,450.376,2.22825,16.3394,1.03879,0.00152,0.25,0.00112,0.00033,2.69702,7.04934,1.33315,0.0018911,0.0018911,0.0018911
13,478.227,2.57845,11.7799,1.20005,0.00182,0.3,0.01623,0.00372,2.75062,6.41672,1.33678,0.0018812,0.0018812,0.0018812
14,507.199,2.46399,15.3697,1.14898,0.00182,0.3,0.01623,0.00372,2.75062,6.41672,1.33678,0.0018713,0.0018713,0.0018713
15,538.401,2.92739,11.7029,1.22489,0.32703,0.15,0.06035,0.00996,2.8919,6.46393,1.40481,0.0018614,0.0018614,0.0018614
16,579.826,2.5516,11.9806,1.07213,0.24627,0.15,0.0832,0.01521,2.93929,5.79035,1.43706,0.0018515,0.0018515,0.0018515
17,627.441,2.89404,11.8832,1.42426,0.24627,0.15,0.0832,0.01521,2.93929,5.79035,1.43706,0.0018416,0.0018416,0.0018416
18,662.899,2.55291,10.2912,1.15003,0.13189,0.1,0.04614,0.00941,2.94329,5.94968,1.41012,0.0018317,0.0018317,0.0018317
19,701.064,2.40289,10.7205,1.15038,0.26328,0.25,0.1086,0.02329,3.08373,5.09583,1.42174,0.0018218,0.0018218,0.0018218
20,728.538,2.6701,11.7149,1.0762,0.26328,0.25,0.1086,0.02329,3.08373,5.09583,1.42174,0.0018119,0.0018119,0.0018119
21,772.195,2.50201,11.8035,1.12656,0.14498,0.15,0.06809,0.02047,3.03978,5.46453,1.38484,0.001802,0.001802,0.001802
22,814.071,2.11013,9.61622,0.99596,0.14498,0.15,0.06809,0.02047,3.03978,5.46453,1.38484,0.0017921,0.0017921,0.0017921
23,854.439,2.2721,9.03833,1.10983,0.10122,0.15,0.07074,0.02126,2.86492,5.75582,1.33828,0.0017822,0.0017822,0.0017822
24,903.505,2.42764,11.4368,1.05829,0.44211,0.25,0.2057,0.04631,2.97079,5.35707,1.35992,0.0017723,0.0017723,0.0017723
25,938.269,2.64834,9.51192,1.19557,0.44211,0.25,0.2057,0.04631,2.97079,5.35707,1.35992,0.0017624,0.0017624,0.0017624
26,974.896,2.28496,8.56532,1.08401,0.6425,0.15,0.24987,0.08387,2.80385,5.62688,1.30067,0.0017525,0.0017525,0.0017525
27,1016.73,2.6593,9.06952,1.19166,0.62014,0.35,0.23661,0.06898,2.87065,4.97433,1.27554,0.0017426,0.0017426,0.0017426
28,1054.37,2.27176,7.83865,1.11964,0.62014,0.35,0.23661,0.06898,2.87065,4.97433,1.27554,0.0017327,0.0017327,0.0017327
29,1087.66,2.47842,8.65007,1.11534,0.57403,0.35,0.24339,0.09509,2.64886,4.76364,1.23894,0.0017228,0.0017228,0.0017228
30,1125.15,2.60894,7.43682,1.17221,0.52416,0.35,0.22843,0.07745,2.60592,4.67006,1.24216,0.0017129,0.0017129,0.0017129
31,1164.52,2.04827,6.79349,1.07918,0.52416,0.35,0.22843,0.07745,2.60592,4.67006,1.24216,0.001703,0.001703,0.001703
32,1204.45,2.27593,7.43785,1.10421,0.36028,0.35,0.15126,0.04829,2.75189,4.60263,1.29601,0.0016931,0.0016931,0.0016931
33,1241.29,2.41286,6.04828,1.11623,0.44919,0.2,0.14345,0.04709,2.81034,4.57717,1.33422,0.0016832,0.0016832,0.0016832
34,1280.86,2.39636,8.35575,0.98937,0.44919,0.2,0.14345,0.04709,2.81034,4.57717,1.33422,0.0016733,0.0016733,0.0016733
35,1316.56,2.01377,7.9918,0.98587,0.45498,0.2,0.13943,0.04222,2.79396,4.66717,1.32,0.0016634,0.0016634,0.0016634
36,1352.14,2.41857,6.5994,1.0949,0.37112,0.25,0.17148,0.06785,2.63599,4.38064,1.27505,0.0016535,0.0016535,0.0016535
37,1379.33,1.8156,7.14003,0.89558,0.37112,0.25,0.17148,0.06785,2.63599,4.38064,1.27505,0.0016436,0.0016436,0.0016436
38,1408.48,2.18787,6.80849,1.04399,0.43373,0.35,0.24735,0.06656,2.65487,4.04519,1.2597,0.0016337,0.0016337,0.0016337
39,1437,2.22118,5.24449,1.03336,0.61181,0.25,0.25084,0.06131,2.73329,3.97594,1.27768,0.0016238,0.0016238,0.0016238
40,1468.95,2.14356,6.01846,1.07461,0.61181,0.25,0.25084,0.06131,2.73329,3.97594,1.27768,0.0016139,0.0016139,0.0016139
41,1512.26,2.17498,6.04445,0.95397,0.31269,0.2,0.16074,0.04846,2.91823,4.32731,1.3188,0.001604,0.001604,0.001604
42,1559.14,2.04604,5.87402,0.99608,0.22168,0.25,0.08676,0.01788,3.23776,4.42228,1.38594,0.0015941,0.0015941,0.0015941
43,1591.04,2.23477,4.28451,1.03207,0.22168,0.25,0.08676,0.01788,3.23776,4.42228,1.38594,0.0015842,0.0015842,0.0015842
44,1615.94,2.06683,5.33937,0.9881,0.08532,0.25,0.04071,0.01018,3.27956,4.40039,1.44775,0.0015743,0.0015743,0.0015743
45,1642.65,1.90694,6.70974,0.91011,0.24488,0.25,0.13135,0.03048,3.23667,4.02741,1.41599,0.0015644,0.0015644,0.0015644
46,1667.95,2.27482,5.32297,1.05547,0.24488,0.25,0.13135,0.03048,3.23667,4.02741,1.41599,0.0015545,0.0015545,0.0015545
47,1694.28,2.14619,4.58719,1.08702,0.71496,0.35,0.31862,0.10089,2.93638,4.05114,1.30336,0.0015446,0.0015446,0.0015446
48,1715.67,2.19647,5.76209,1.00038,0.78466,0.35,0.32752,0.10488,2.97143,4.00832,1.30557,0.0015347,0.0015347,0.0015347
49,1735.02,2.26433,4.82295,1.07943,0.78466,0.35,0.32752,0.10488,2.97143,4.00832,1.30557,0.0015248,0.0015248,0.0015248
50,1754.86,2.15283,5.01431,1.00651,0.75929,0.35,0.32938,0.06082,3.07084,3.86863,1.35282,0.0015149,0.0015149,0.0015149
51,1776.27,2.14357,4.1103,1.0529,0.35537,0.27645,0.20041,0.03726,3.0866,3.90499,1.38901,0.001505,0.001505,0.001505
52,1796.7,2.22788,4.96772,1.0758,0.35537,0.27645,0.20041,0.03726,3.0866,3.90499,1.38901,0.0014951,0.0014951,0.0014951
53,1817.58,1.81379,4.94809,0.9017,0.40535,0.4,0.27207,0.05792,3.0118,3.56762,1.32422,0.0014852,0.0014852,0.0014852
54,1837.61,1.40066,6.26329,0.71738,0.40535,0.4,0.27207,0.05792,3.0118,3.56762,1.32422,0.0014753,0.0014753,0.0014753
55,1857.7,2.10117,5.87709,1.0246,0.41427,0.4,0.27354,0.06205,2.97711,3.46264,1.31087,0.0014654,0.0014654,0.0014654
56,1878.11,2.06088,4.12674,1.05888,0.44088,0.31616,0.2671,0.06523,2.91396,3.62046,1.30249,0.0014555,0.0014555,0.0014555
57,1898.96,2.1672,4.48143,1.00373,0.44088,0.31616,0.2671,0.06523,2.91396,3.62046,1.30249,0.0014456,0.0014456,0.0014456
58,1922.21,2.0708,4.61756,0.97748,0.48116,0.3,0.28372,0.06013,2.885,3.46974,1.30827,0.0014357,0.0014357,0.0014357
59,1955.3,2.26522,5.14809,1.01922,0.39987,0.36707,0.20975,0.0553,2.91299,3.30047,1.32528,0.0014258,0.0014258,0.0014258
60,1976.31,1.82836,3.75973,0.985,0.39987,0.36707,0.20975,0.0553,2.91299,3.30047,1.32528,0.0014159,0.0014159,0.0014159
61,1996.35,1.82271,4.85801,0.94908,0.47158,0.3,0.19351,0.05152,3.03133,3.32352,1.36135,0.001406,0.001406,0.001406
62,2017.61,2.14225,3.72074,1.04377,0.44812,0.3,0.18596,0.04612,3.00213,3.44234,1.35526,0.0013961,0.0013961,0.0013961
63,2066.93,2.02484,4.19807,0.99361,0.44812,0.3,0.18596,0.04612,3.00213,3.44234,1.35526,0.0013862,0.0013862,0.0013862
64,2128.43,1.66351,4.46137,0.87592,0.45919,0.3,0.18495,0.04009,2.98163,3.3245,1.35272,0.0013763,0.0013763,0.0013763
65,2146.3,1.91889,4.64771,0.97365,0.5543,0.35,0.27491,0.04867,2.96684,3.39133,1.35402,0.0013664,0.0013664,0.0013664
66,2176.5,2.05306,3.13379,1.07173,0.5543,0.35,0.27491,0.04867,2.96684,3.39133,1.35402,0.0013565,0.0013565,0.0013565
67,2239.86,1.96035,4.29513,0.98821,0.65166,0.35,0.29786,0.06667,3.04463,3.2882,1.35824,0.0013466,0.0013466,0.0013466
68,2293.49,1.75672,4.04405,0.90764,0.81745,0.35,0.34108,0.06866,2.95692,3.19522,1.30221,0.0013367,0.0013367,0.0013367
69,2351.83,1.91721,4.44913,0.8688,0.81745,0.35,0.34108,0.06866,2.95692,3.19522,1.30221,0.0013268,0.0013268,0.0013268
70,2378.54,1.85955,3.38248,0.98555,0.84564,0.35,0.33754,0.10782,2.80362,3.23789,1.26639,0.0013169,0.0013169,0.0013169
71,2407.48,1.84607,3.22131,0.94653,0.8488,0.35,0.3332,0.10689,2.79768,3.03205,1.26541,0.001307,0.001307,0.001307
72,2437.67,2.21901,4.03374,1.12369,0.8488,0.35,0.3332,0.10689,2.79768,3.03205,1.26541,0.0012971,0.0012971,0.0012971
73,2461.25,1.8702,4.79241,0.81813,0.85554,0.35,0.35146,0.1225,2.74737,2.94006,1.2682,0.0012872,0.0012872,0.0012872
74,2489,2.27687,3.40366,1.12827,0.89716,0.35,0.36142,0.11956,2.745,2.91736,1.28282,0.0012773,0.0012773,0.0012773
75,2528.79,1.72049,3.30472,0.96084,0.89716,0.35,0.36142,0.11956,2.745,2.91736,1.28282,0.0012674,0.0012674,0.0012674
